timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
228078478,inf,1,0,0,0
229082970,inf,1,0,0,0
229332483,inf,0,0,1,0
229622493,inf,0,0,0,1
229956482,inf,1,0,0,0
230971994,inf,1,0,0,0
231976482,inf,1,0,0,0
232995898,inf,1,0,0,0
234004548,inf,1,0,0,0
235017494,inf,1,0,0,0
235057482,inf,0,0,0,0
236063822,inf,0,0,0,0
237070543,inf,0,0,0,0
238081970,inf,0,0,0,0
239091492,inf,0,0,0,0
240098570,inf,0,0,0,0
241111482,inf,0,0,0,0
242123486,inf,0,0,0,0
243134493,inf,0,0,0,0
244148803,inf,0,0,0,0
245157239,inf,0,0,0,0
246157488,inf,0,0,0,0
247171510,inf,0,0,0,0
248191482,inf,0,0,0,0
249210178,inf,0,0,0,0
250227636,inf,0,0,0,0
251244552,inf,0,0,0,0
252262271,inf,0,0,0,0
253278830,inf,0,0,0,0
254296814,inf,0,0,0,0
255317489,inf,0,0,0,0
256332481,inf,0,0,0,0
257344804,inf,0,0,0,0
258358776,inf,0,0,0,0
259377148,inf,0,0,0,0
260391491,inf,0,0,0,0
261408482,inf,0,0,0,0
262415513,inf,0,0,0,0
263436423,inf,0,0,0,0
264454719,inf,0,0,0,0
265472657,inf,0,0,0,0
266480482,inf,0,0,0,0
267486581,inf,0,0,0,0
268496589,inf,0,0,0,0
269498576,inf,0,0,0,0
270509518,inf,0,0,0,0
271526796,inf,0,0,0,0
272535526,inf,0,0,0,0
273536254,inf,0,0,0,0
274554481,inf,0,0,0,0
275556481,inf,0,0,0,0
276566623,inf,0,0,0,0
277584911,inf,0,0,0,0
278592482,inf,0,0,0,0
279594504,inf,0,0,0,0
280594965,inf,0,0,0,0
281600595,inf,0,0,0,0
282606591,inf,0,0,0,0
283607510,inf,0,0,0,0
284617481,inf,0,0,0,0
285622687,inf,0,0,0,0
286630510,inf,0,0,0,0
287640637,inf,0,0,0,0
288655332,inf,0,0,0,0
289659486,inf,0,0,0,0
290669490,inf,0,0,0,0
291669498,inf,0,0,0,0
292684556,inf,0,0,0,0
293691518,inf,0,0,0,0
294702699,inf,0,0,0,0
295707497,inf,0,0,0,0
296726974,inf,0,0,0,0
297738486,inf,0,0,0,0
298740206,inf,0,0,0,0
299754496,inf,0,0,0,0
300772319,inf,0,0,0,0
301786504,inf,0,0,0,0
302804245,inf,0,0,0,0
303818594,inf,0,0,0,0
304836560,inf,0,0,0,0
305848797,inf,0,0,0,0
306860174,inf,0,0,0,0
307869141,inf,0,0,0,0
308884299,inf,0,0,0,0
309890486,inf,0,0,0,0
310911397,inf,0,0,0,0
311930482,inf,0,0,0,0
312931395,inf,0,0,0,0
313949093,inf,0,0,0,0
314956609,inf,0,0,0,0
315974651,inf,0,0,0,0
316978533,inf,0,0,0,0
317987501,inf,0,0,0,0
318996482,inf,0,0,0,0
320006568,inf,0,0,0,0
321019482,inf,0,0,0,0
322030481,inf,0,0,0,0
323049386,inf,0,0,0,0
324064535,inf,0,0,0,0
325069497,inf,0,0,0,0
326087821,inf,0,0,0,0
327099901,inf,0,0,0,0
328115497,inf,0,0,0,0
329132554,inf,0,0,0,0
330149529,inf,0,0,0,0
331167487,inf,0,0,0,0
332178491,inf,0,0,0,0
333194482,inf,0,0,0,0
334207497,inf,0,0,0,0
335227497,inf,0,0,0,0
336239729,inf,0,0,0,0
337257482,inf,0,0,0,0
338271591,inf,0,0,0,0
339288482,inf,0,0,0,0
340299482,inf,0,0,0,0
341312482,inf,0,0,0,0
342322516,inf,0,0,0,0
343339104,inf,0,0,0,0
344343485,inf,0,0,0,0
345356481,inf,0,0,0,0
346371499,inf,0,0,0,0
347386485,inf,0,0,0,0
348387481,inf,0,0,0,0
349402704,inf,0,0,0,0
350417482,inf,0,0,0,0
351432482,inf,0,0,0,0
352449491,inf,0,0,0,0
353449492,inf,0,0,0,0
354465492,inf,0,0,0,0
355481489,inf,0,0,0,0
356492481,inf,0,0,0,0
357500809,inf,0,0,0,0
358508481,inf,0,0,0,0
359519486,inf,0,0,0,0
360527482,inf,0,0,0,0
361545492,inf,0,0,0,0
362558491,inf,0,0,0,0
363576729,inf,0,0,0,0
364576868,inf,0,0,0,0
365582418,inf,0,0,0,0
366593494,inf,0,0,0,0
367602485,inf,0,0,0,0
368618148,inf,0,0,0,0
369626481,inf,0,0,0,0
370638742,inf,0,0,0,0
371644806,inf,0,0,0,0
372655524,inf,0,0,0,0
373675068,inf,0,0,0,0
374686554,inf,0,0,0,0
375122595,inf,0,0,1,0
375413502,inf,0,0,0,1
375744482,inf,1,0,0,0
376755499,inf,1,0,0,0
377769488,inf,1,0,0,0
378695536,inf,0,0,1,0
379336596,inf,0,0,0,1
379665482,inf,1,0,0,0
380679566,inf,1,0,0,0
381690482,inf,1,0,0,0
382704541,inf,1,0,0,0
